Id,Position,First Name,Last Name,Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Starter
14268,RB,Stevan,Ridley,Stevan Ridley,0.1,4,4500,TEN@NYJ,NYJ,TEN,,,Y
25654,RB,Tommy,Bohanon,Tommy Bohanon,0.6,12,4500,TEN@NYJ,NYJ,TEN,,,Y
34331,RB,Latavius,Murray,Latavius Murray,12.1,12,6200,OAK@DEN,OAK,DEN,,,Y
10354,RB,Marcel,Reece,Marcel Reece,4.7,12,4700,OAK@DEN,OAK,DEN,,,Y
14305,RB,Roy,Helu,Roy Helu,2.3,8,4500,OAK@DEN,OAK,DEN,,,Y
14319,RB,Taiwan,Jones,Taiwan Jones,3,8,4500,OAK@DEN,OAK,DEN,Q,Knee,Y
23046,RB,Jamize,Olawale,Jamize Olawale,2.8,10,4500,OAK@DEN,OAK,DEN,,,Y
14254,RB,DeMarco,Murray,DeMarco Murray,12.2,11,6700,BUF@PHI,PHI,BUF,,,Y
7972,RB,Darren,Sproles,Darren Sproles,8.1,12,5100,BUF@PHI,PHI,BUF,,,Y
11425,RB,Ryan,Mathews,Ryan Mathews,10.4,9,4700,BUF@PHI,PHI,BUF,Q,Concussion,Y
29357,RB,Kenjon,Barner,Kenjon Barner,1.8,6,4600,BUF@PHI,PHI,BUF,,,Y
6732,RB,DeAngelo,Williams,DeAngelo Williams,12,12,7300,PIT@CIN,PIT,CIN,,,Y
21984,RB,Isaiah,Pead,Isaiah Pead,-0.8,2,4500,PIT@CIN,PIT,CIN,,,Y
44952,RB,Dri,Archer,Dri Archer,0,8,4500,PIT@CIN,PIT,CIN,,,Y
14369,RB,Jordan,Todman,Jordan Todman,0.2,11,4500,PIT@CIN,PIT,CIN,,,Y
9421,RB,Danny,Woodhead,Danny Woodhead,11.9,12,5400,SD@KC,SDG,KAN,,,Y
28900,RB,Melvin,Gordon,Melvin Gordon,6.5,12,5300,SD@KC,SDG,KAN,,,Y
6660,RB,Donald,Brown,Donald Brown,1.3,6,4500,SD@KC,SDG,KAN,,,Y
28095,RB,Thomas,Rawls,Thomas Rawls,9.9,12,7400,SEA@BAL,SEA,BAL,,,Y
7660,RB,Fred,Jackson,Fred Jackson,3.9,12,4500,SEA@BAL,SEA,BAL,,,Y
22800,RB,Derrick,Coleman,Derrick Coleman,0.1,10,4500,SEA@BAL,SEA,BAL,,,Y
